sec_id	has_micronemes	has_nucleo	vol_cell	n_cryst	has_nuctail	has_micronuc	retort_length	is_full	cell_id	stage_marco	time
1	1	1	55372600000	1	0	0	13.241	0	z2	late	20
2	0	1	52282200000	1	0	0	10.739	0	z3	late	20
3	1	1	55106200000	1	0	0	13.899	0	z4	late	20
4	0	1	63504800000	1	0	0	14.845	0	z6	late	20
5	1	1	41611436032	3	0	0	14.138	1	z7	finished	20
6	1	1	59285491712	2	0	0	15.046	0	z8	late	20
7	1	1	45811300000	2	0	0	14.095	1	z9	finished	20
8	1	1	43026500000	3	0	0	13.11	1	z10	finished	20
9	1	1	43375300000	2	0	0	15.685	1	z11	finished	20
10	0	1	69385600000	2	0	1	12.759	0	z12	late	20
11	0	0	93095000000	0	1	0	4.025	0	z13	early	8
12	0	0	82715200000	0	1	0	3.272	0	z14	early	8
13	0	0	67647100000	0	1	0	4.812	0	z15	early	8
14	0	0	74054877184	0	1	0	2.723	0	z17	early	8
15	0	1	55848720000	2	0	0	11.753	0	z18	medium	16
16	0	1	76800600000	1	1	1	11.979	0	z19	medium	16
17	0	1	59744600000	1	0	1	10.123	0	z20	medium	16
18	0	1	59590400000	2	0	1	10.451	0	z21	medium	16
19	0	1	55853100000	0	1	1	8.115	0	z22	medium	16
20	0	1	74753523712	0	1	1	7.005	0	z23	medium	16
21	0	1	70196560000	2	0	1	8.525	0	z24	medium	16
22	0	1	69205760000	0	1	0	10.971	0	z25	medium	16
23	0	1	72974000000	2	1	0	9.828	0	z26	medium	16
24	1	1	43315280000	2	0	0	14.013	0	z27	late	16
25	0	1	67106200000	0	1	0	5.714	0	z28	medium	16
